country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2026 18:00:00",28.672342,77.315260,NH3,6,9,7
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2026 18:00:00",28.672342,77.315260,OZONE,9,94,82
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2026 18:00:00",28.699793,77.165453,SO2,8,34,19
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","14-04-2026 18:00:00",23.107969,72.574648,PM2.5,36,67,52
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-04-2026 18:00:00",22.977134,72.553024,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2026 18:00:00",23.002657,72.591912,CO,16,54,28
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","14-04-2026 18:00:00",28.206800,76.799700,SO2,6,8,7
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","14-04-2026 18:00:00",28.39072,77.30059,PM2.5,96,109,101
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","14-04-2026 18:00:00",28.376058,77.315741,PM2.5,44,349,234
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","14-04-2026 18:00:00",28.376058,77.315741,NH3,10,10,10
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","14-04-2026 18:00:00",28.4417,77.3217,PM10,60,434,101
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-04-2026 18:00:00",29.503664,75.467934,PM10,54,108,81
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-04-2026 18:00:00",23.020509,72.579261,CO,31,104,42
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2026 18:00:00",23.016834,72.625775,SO2,11,115,34
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2026 18:00:00",23.023389,72.515201,NH3,1,9,4
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","14-04-2026 18:00:00",23.076793,72.627874,PM2.5,39,93,64
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","14-04-2026 18:00:00",23.076793,72.627874,OZONE,2,80,73
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","14-04-2026 18:00:00",23.243639,72.68994,NO2,6,26,15
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2026 18:00:00",23.221714,72.654328,PM2.5,63,116,93
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2026 18:00:00",23.221714,72.654328,NO2,7,64,26
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2026 18:00:00",23.221714,72.654328,NH3,1,6,2
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","14-04-2026 18:00:00",28.4275,77.1465,SO2,1,20,9
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","14-04-2026 18:00:00",28.4275,77.1465,OZONE,9,37,28
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","14-04-2026 18:00:00",28.4501238,77.0263051,CO,66,114,92
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","14-04-2026 18:00:00",23.593150,72.372792,NH3,2,5,3
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","14-04-2026 18:00:00",29.503664,75.467934,NH3,13,14,14
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2026 18:00:00",12.9135218,77.5950804,PM10,88,90,89
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2026 18:00:00",12.9135218,77.5950804,CO,45,57,51
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2026 18:00:00",12.9135218,77.5950804,OZONE,23,24,24
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","14-04-2026 18:00:00",12.9352049,77.6814488,PM10,31,105,71
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","14-04-2026 18:00:00",12.9352049,77.6814488,OZONE,11,40,36
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2026 18:00:00",12.951913,77.539784,PM2.5,33,78,54
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2026 18:00:00",12.951913,77.539784,OZONE,22,74,64
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","14-04-2026 18:00:00",12.9756843,77.5660749,NO2,51,60,55
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","14-04-2026 18:00:00",13.029152,77.585901,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2026 18:00:00",12.938539,77.590100,PM10,74,132,101
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","14-04-2026 18:00:00",13.0246342,77.5080115,OZONE,25,26,26
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2026 18:00:00",12.917348,77.622813,PM2.5,57,234,92
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","14-04-2026 18:00:00",12.917348,77.622813,PM10,84,197,118
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2026 18:00:00",11.55358,76.55521,PM10,33,68,52
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2026 18:00:00",11.55358,76.55521,SO2,3,5,4
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2026 18:00:00",11.55358,76.55521,OZONE,13,29,27
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","14-04-2026 18:00:00",13.428828,77.731418,PM10,59,117,82
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","14-04-2026 18:00:00",13.428828,77.731418,OZONE,5,24,9
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2026 18:00:00",13.328028,75.797056,NH3,2,3,3
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","14-04-2026 18:00:00",29.432304,76.972765,NO2,31,32,31
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","14-04-2026 18:00:00",28.52123,76.37138,PM10,6,27,20
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","14-04-2026 18:00:00",28.52123,76.37138,NO2,9,13,11
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","14-04-2026 18:00:00",28.52123,76.37138,CO,30,40,34
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","14-04-2026 18:00:00",29.536400,75.015800,SO2,2,48,13
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","14-04-2026 18:00:00",29.027200,77.062100,CO,50,68,57
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","14-04-2026 18:00:00",30.1480566,77.2893471,PM2.5,66,331,182
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","14-04-2026 18:00:00",30.1480566,77.2893471,PM10,66,218,128
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2026 18:00:00",12.920984,77.584908,SO2,8,40,22
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","14-04-2026 18:00:00",12.7816279,77.6299145,NO2,17,19,18
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","14-04-2026 18:00:00",12.7816279,77.6299145,OZONE,28,29,28
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","14-04-2026 18:00:00",13.003872,77.664217,SO2,8,9,9
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2026 18:00:00",13.0270199,77.494094,NH3,3,6,4
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","14-04-2026 18:00:00",12.921418,77.502466,PM2.5,9,466,135
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","14-04-2026 18:00:00",12.921418,77.502466,SO2,3,7,6
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","14-04-2026 18:00:00",12.990328,77.5431385,SO2,6,7,6
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","14-04-2026 18:00:00",34.031606,75.009712,PM10,22,66,45
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC","14-04-2026 18:00:00",34.06313,74.96017,PM2.5,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC","14-04-2026 18:00:00",34.06313,74.96017,SO2,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","14-04-2026 18:00:00",23.80569,86.44268,PM10,67,216,117
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","14-04-2026 18:00:00",23.80569,86.44268,CO,2,30,1
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","14-04-2026 18:00:00",23.707909,86.414670,OZONE,2,48,36
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2026 18:00:00",16.172806,75.659694,CO,4,42,17
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","14-04-2026 18:00:00",29.140560,75.744941,PM2.5,NA,NA,NA
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","14-04-2026 18:00:00",29.140560,75.744941,NO2,NA,NA,NA
India,Haryana,Jind,"Police Lines, Jind - HSPCB","14-04-2026 18:00:00",29.307814,76.337619,NH3,4,6,5
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","14-04-2026 18:00:00",29.8006,76.4155,PM2.5,29,87,59
